transaction_id,data,valor,hora,categoria,categoria_cod,qtd_transacoes_24h,is_fraud
TXN_NOV_000059,2025-11,301.22538807921416,21,lazer,6,4,0
TXN_NOV_000060,2025-11,447.32511232444364,21,restaurante,5,5,0
TXN_NOV_000061,2025-11,451.83762746103713,19,restaurante,5,2,0
TXN_NOV_000062,2025-11,230.104184495468,14,restaurante,5,1,0
TXN_NOV_000063,2025-11,466.94235164899743,16,lazer,6,6,0
TXN_NOV_000064,2025-11,200.99900843680797,21,livros,8,1,0
TXN_NOV_000065,2025-11,8693.136202641308,14,transferencia,14,30,1
TXN_NOV_000066,2025-11,4232.205219570301,10,pix,13,16,1
TXN_NOV_000067,2025-11,4948.532907718053,11,pix,13,18,1
TXN_NOV_000068,2025-11,265.9464275839377,20,lazer,6,2,0
TXN_NOV_000069,2025-11,662.3233048551175,20,assinatura,9,2,0
TXN_NOV_000070,2025-11,136.52683270126536,22,assinatura,9,2,0
TXN_NOV_000071,2025-11,138.9403757997061,19,livros,8,1,0
TXN_NOV_000072,2025-11,90.15240288388878,14,alimentacao,1,1,0
TXN_NOV_000073,2025-11,51.41159364786641,14,alimentacao,1,1,0
TXN_NOV_000074,2025-11,163.93689785236168,16,farmacia,2,2,0
TXN_NOV_000075,2025-11,337.71747996553995,20,eletronicos,7,2,0
TXN_NOV_000076,2025-11,243.299909162757,11,transporte,3,2,0
TXN_NOV_000077,2025-11,192.45054739255448,20,livros,8,1,0
TXN_NOV_000078,2025-11,312.91604975534943,21,eletronicos,7,3,0
TXN_NOV_000079,2025-11,325.4144140687713,19,lazer,6,4,0
TXN_NOV_000080,2025-11,258.6239861148341,22,eletronicos,7,3,0
TXN_NOV_000081,2025-11,280.8964917486249,20,livros,8,2,0
TXN_NOV_000082,2025-11,35.94657177454601,17,alimentacao,1,4,0
TXN_NOV_000083,2025-11,74.14195654184637,16,farmacia,2,2,0
TXN_NOV_000084,2025-11,3500.0,11,transferencia,14,25,1
TXN_NOV_000085,2025-11,236.64525017037073,19,livros,8,1,0
TXN_NOV_000086,2025-11,329.3650678661386,18,vestuario,4,1,0
TXN_NOV_000087,2025-11,8757.4398975318,10,transferencia,14,31,1
TXN_NOV_000088,2025-11,222.67408838114386,19,livros,8,2,0
TXN_NOV_000089,2025-11,165.99226055098725,13,vestuario,4,2,0
TXN_NOV_000090,2025-11,592.4863393636526,20,eletronicos,7,1,0
TXN_NOV_000091,2025-11,130.4456240235969,14,restaurante,5,2,0
TXN_NOV_000092,2025-11,80.26790109514523,22,livros,8,3,0
TXN_NOV_000093,2025-11,148.678196587278,20,vestuario,4,2,0
TXN_NOV_000094,2025-11,190.97508570440704,22,assinatura,9,1,0
TXN_NOV_000095,2025-11,256.518533979666,13,restaurante,5,2,0
TXN_NOV_000096,2025-11,72.85454880763939,9,farmacia,2,2,0
TXN_NOV_000097,2025-11,193.88951595045808,17,lazer,6,5,0
TXN_NOV_000098,2025-11,12514.898064305537,11,pix,13,36,1
TXN_NOV_000099,2025-11,8811.16524403913,15,transferencia,14,28,1
TXN_NOV_000100,2025-11,104.38232873142006,11,alimentacao,1,2,0
TXN_NOV_000101,2025-11,214.27373818401023,14,farmacia,2,1,0
TXN_NOV_000102,2025-11,23.856092482248602,12,alimentacao,1,2,0
TXN_NOV_000103,2025-11,244.6110336140679,16,vestuario,4,1,0
TXN_NOV_000104,2025-11,226.26904548158254,21,eletronicos,7,2,0
TXN_NOV_000105,2025-11,511.7303084298191,22,assinatura,9,3,0
TXN_NOV_000106,2025-11,152.71836122140854,15,alimentacao,1,3,0
TXN_NOV_000107,2025-11,205.91717558276218,20,lazer,6,4,0
TXN_NOV_000108,2025-11,7683.260936373621,13,pix,13,23,1
TXN_NOV_000109,2025-11,97.21563641422927,9,alimentacao,1,1,0
TXN_NOV_000110,2025-11,3500.0,13,pix,13,26,1
TXN_NOV_000111,2025-11,7966.784590003761,13,transferencia,14,18,1
TXN_NOV_000112,2025-11,502.6563257839144,21,lazer,6,5,0
TXN_NOV_000113,2025-11,176.4028103285993,21,assinatura,9,2,0
TXN_NOV_000114,2025-11,253.68623862541278,20,assinatura,9,2,0
TXN_NOV_000115,2025-11,73.05375638225595,8,transporte,3,5,0
TXN_NOV_000116,2025-11,117.73861709198648,17,transporte,3,3,0
TXN_NOV_000117,2025-11,230.82817393653986,23,eletronicos,7,3,0
TXN_NOV_000118,2025-11,246.13450602455487,21,vestuario,4,5,0
TXN_NOV_000119,2025-11,270.696152934557,16,restaurante,5,4,0
TXN_NOV_000120,2025-11,5102.147132376548,14,pix,13,23,1
TXN_NOV_000121,2025-11,628.2668956318812,19,vestuario,4,3,0
TXN_NOV_000122,2025-11,270.66396881863426,16,lazer,6,3,0
TXN_NOV_000123,2025-11,638.428854241095,21,eletronicos,7,4,0
TXN_NOV_000124,2025-11,21.458505651961055,10,alimentacao,1,3,0
TXN_NOV_000125,2025-11,179.86117689572296,18,lazer,6,5,0
TXN_NOV_000126,2025-11,824.025507640787,13,lazer,6,2,0
TXN_NOV_000127,2025-11,359.3957433762603,23,assinatura,9,2,0
TXN_NOV_000128,2025-11,5635.824320815335,11,pix,13,20,1
TXN_NOV_000129,2025-11,1028.4471290105196,11,vestuario,4,4,0
TXN_NOV_000130,2025-11,121.70711995336704,10,transporte,3,1,0
TXN_NOV_000131,2025-11,290.14995480964853,15,lazer,6,3,0
TXN_NOV_000132,2025-11,171.92907500287885,12,lazer,6,1,0
TXN_NOV_000133,2025-11,303.94942332941457,15,lazer,6,3,0
TXN_NOV_000134,2025-11,410.5191978801656,19,eletronicos,7,1,0
TXN_NOV_000135,2025-11,338.2796949103987,23,eletronicos,7,4,0
TXN_NOV_000136,2025-11,237.41924362999362,19,assinatura,9,1,0
TXN_NOV_000137,2025-11,625.0518368051871,18,lazer,6,4,0
TXN_NOV_000138,2025-11,190.5018915098518,10,farmacia,2,5,0
TXN_NOV_000139,2025-11,204.553626712687,16,vestuario,4,6,0
TXN_NOV_000140,2025-11,5494.997046949947,15,pix,13,19,1
TXN_NOV_000141,2025-11,5274.8814292323805,23,viagem,12,25,1
TXN_NOV_000142,2025-11,90.19943840435303,19,eletronicos,7,1,0
TXN_NOV_000143,2025-11,550.3452806955995,21,assinatura,9,5,0
TXN_NOV_000144,2025-11,3500.0,12,transferencia,14,31,1
TXN_NOV_000145,2025-11,349.5342906082448,13,vestuario,4,4,0
TXN_NOV_000146,2025-11,105.8512058373559,21,assinatura,9,5,0
TXN_NOV_000147,2025-11,656.9902173470878,14,lazer,6,3,0
TXN_NOV_000148,2025-11,130.3495986697191,9,farmacia,2,1,0
TXN_NOV_000149,2025-11,4442.311025398753,23,viagem,12,32,1
TXN_NOV_000150,2025-11,51.41622746223227,13,farmacia,2,1,0
TXN_NOV_000151,2025-11,284.0782034311545,19,lazer,6,1,0
TXN_NOV_000152,2025-11,166.21298850110412,22,assinatura,9,4,0
TXN_NOV_000153,2025-11,291.5931386657684,20,eletronicos,7,4,0
TXN_NOV_000154,2025-11,7770.318953120291,17,transferencia,14,25,1
TXN_NOV_000155,2025-11,170.0334815201502,12,alimentacao,1,2,0
TXN_NOV_000156,2025-11,106.82560497005198,8,farmacia,2,1,0
TXN_NOV_000157,2025-11,4805.3342275708965,23,eletronicos,7,39,1
TXN_NOV_000158,2025-11,915.6380149486188,13,lazer,6,4,0
TXN_NOV_000159,2025-11,11044.140903874226,14,transferencia,14,26,1
TXN_NOV_000160,2025-11,37.64362629649655,13,transporte,3,1,0
TXN_NOV_000161,2025-11,3500.0,13,pix,13,14,1
TXN_NOV_000162,2025-11,830.6195316890837,17,vestuario,4,4,0
TXN_NOV_000163,2025-11,244.91127062022233,12,transporte,3,3,0
TXN_NOV_000164,2025-11,392.79852834570704,22,livros,8,2,0
TXN_NOV_000165,2025-11,183.2313663076051,10,farmacia,2,3,0
TXN_NOV_000166,2025-11,37.11810673583791,11,farmacia,2,4,0
TXN_NOV_000167,2025-11,264.6971024111905,17,transporte,3,1,0
TXN_NOV_000168,2025-11,88.52554794955776,14,alimentacao,1,2,0
TXN_NOV_000169,2025-11,203.392763686769,19,restaurante,5,1,0
TXN_NOV_000170,2025-11,300.3181968469465,22,eletronicos,7,3,0
TXN_NOV_000171,2025-11,1463.1213694589364,17,lazer,6,4,0
TXN_NOV_000172,2025-11,7544.424380494781,15,transferencia,14,22,1
TXN_NOV_000173,2025-11,870.8931945107412,23,assinatura,9,2,0
TXN_NOV_000174,2025-11,5842.7175136158185,15,pix,13,22,1
TXN_NOV_000175,2025-11,88.10172238696605,12,alimentacao,1,2,0
TXN_NOV_000176,2025-11,136.89590052526015,13,restaurante,5,4,0
TXN_NOV_000177,2025-11,35.72795343940526,14,alimentacao,1,2,0
TXN_NOV_000178,2025-11,700.4941988347432,13,vestuario,4,7,0
TXN_NOV_000179,2025-11,145.77098392181466,13,farmacia,2,1,0
TXN_NOV_000180,2025-11,10.0,17,transporte,3,3,0
TXN_NOV_000181,2025-11,69.88004073757915,9,alimentacao,1,1,0
TXN_NOV_000182,2025-11,231.35933113196322,8,farmacia,2,2,0
TXN_NOV_000183,2025-11,18.345279462498215,16,transporte,3,1,0
TXN_NOV_000184,2025-11,874.8559289474007,19,vestuario,4,3,0
TXN_NOV_000185,2025-11,3500.0,15,pix,13,19,1
TXN_NOV_000186,2025-11,793.5794824469798,12,vestuario,4,6,0
TXN_NOV_000187,2025-11,621.3524910482677,13,lazer,6,2,0
TXN_NOV_000188,2025-11,11633.664577485819,11,joias,11,23,1
TXN_NOV_000189,2025-11,2800.0,23,joias,11,22,1
TXN_NOV_000190,2025-11,156.11468887277834,13,farmacia,2,1,0
TXN_NOV_000191,2025-11,509.96843094988884,20,assinatura,9,1,0
TXN_NOV_000192,2025-11,207.0457815516855,19,eletronicos,7,3,0
TXN_NOV_000193,2025-11,2800.0,23,joias,11,12,1
TXN_NOV_000194,2025-11,8124.299780856865,10,pix,13,21,1
TXN_NOV_000195,2025-11,40.67035699720632,17,farmacia,2,2,0
TXN_NOV_000196,2025-11,41.398185704980854,17,farmacia,2,3,0
TXN_NOV_000197,2025-11,479.28764612692197,22,livros,8,3,0
TXN_NOV_000198,2025-11,4462.917957999492,18,viagem,12,27,1
TXN_NOV_000199,2025-11,436.5649701253823,19,livros,8,2,0
TXN_NOV_000200,2025-11,100.0,14,vestuario,4,4,0
TXN_NOV_000201,2025-11,496.3836040110209,21,assinatura,9,2,0
TXN_NOV_000202,2025-11,3995.257381063578,14,transferencia,14,18,1
TXN_NOV_000203,2025-11,101.1980335588062,13,transporte,3,5,0
TXN_NOV_000204,2025-11,978.9034398796939,16,supermercado,10,3,0
TXN_NOV_000205,2025-11,93.17210656394315,8,farmacia,2,2,0
TXN_NOV_000206,2025-11,100.0,14,restaurante,5,1,0
TXN_NOV_000207,2025-11,57.28479768357795,10,farmacia,2,3,0
TXN_NOV_000208,2025-11,183.53227784583115,21,livros,8,3,0
TXN_NOV_000209,2025-11,639.989890769622,13,supermercado,10,2,0
TXN_NOV_000210,2025-11,621.1825954334099,12,lazer,6,4,0
TXN_NOV_000211,2025-11,400.1808152759882,16,restaurante,5,4,0
TXN_NOV_000212,2025-11,8938.32011079708,11,pix,13,35,1
TXN_NOV_000213,2025-11,6123.711721122033,13,transferencia,14,21,1
TXN_NOV_000214,2025-11,96.40150046616245,12,alimentacao,1,4,0
TXN_NOV_000215,2025-11,81.47875068459045,9,alimentacao,1,1,0
TXN_NOV_000216,2025-11,156.51166117731637,17,lazer,6,5,0
TXN_NOV_000217,2025-11,169.61601875144413,13,restaurante,5,5,0
TXN_NOV_000218,2025-11,35.552683531178836,9,farmacia,2,4,0
TXN_NOV_000219,2025-11,179.66792370530692,13,lazer,6,7,0
TXN_NOV_000220,2025-11,188.62388060701826,12,transporte,3,1,0
TXN_NOV_000221,2025-11,542.0576607634044,14,restaurante,5,2,0
TXN_NOV_000222,2025-11,11932.363242254922,15,joias,11,23,1
TXN_NOV_000223,2025-11,182.06148744217188,20,eletronicos,7,3,0
TXN_NOV_000224,2025-11,590.5370528047894,19,vestuario,4,3,0
TXN_NOV_000225,2025-11,12.317853252558493,14,transporte,3,1,0
TXN_NOV_000226,2025-11,383.65771835984134,16,vestuario,4,9,0
TXN_NOV_000227,2025-11,65.70417817126518,14,alimentacao,1,2,0
TXN_NOV_000228,2025-11,168.91002651509876,22,eletronicos,7,6,0
TXN_NOV_000229,2025-11,3996.432909190072,22,eletronicos,7,9,1
TXN_NOV_000230,2025-11,176.58418086979623,20,livros,8,4,0
TXN_NOV_000231,2025-11,2800.0,1,joias,11,14,1
TXN_NOV_000232,2025-11,473.4951047146143,11,lazer,6,3,0
TXN_NOV_000233,2025-11,5331.830025495747,21,eletronicos,7,25,1
TXN_NOV_000234,2025-11,1605.5168356374431,17,vestuario,4,6,0
TXN_NOV_000235,2025-11,8567.841410028677,12,transferencia,14,24,1
TXN_NOV_000236,2025-11,100.0,16,lazer,6,2,0
TXN_NOV_000237,2025-11,231.86464099758447,17,vestuario,4,6,0
TXN_NOV_000238,2025-11,259.34454615578625,17,restaurante,5,4,0
TXN_NOV_000239,2025-11,275.754805462871,19,eletronicos,7,1,0
TXN_NOV_000240,2025-11,481.98722462716995,20,vestuario,4,3,0
TXN_NOV_000241,2025-11,171.53937497542017,22,eletronicos,7,6,0
TXN_NOV_000242,2025-11,1054.692649045784,14,supermercado,10,4,0
TXN_NOV_000243,2025-11,32.86013084950373,17,transporte,3,3,0
TXN_NOV_000244,2025-11,1349.476019866731,19,lazer,6,6,0
TXN_NOV_000245,2025-11,447.46842561411705,17,vestuario,4,2,0
TXN_NOV_000246,2025-11,144.68903477193138,14,transporte,3,2,0
TXN_NOV_000247,2025-11,313.84052827074566,10,transporte,3,1,0
TXN_NOV_000248,2025-11,256.6091291604824,22,eletronicos,7,1,0
TXN_NOV_000249,2025-11,338.49542885449046,23,livros,8,2,0
TXN_NOV_000250,2025-11,106.68933153259776,20,vestuario,4,2,0
TXN_NOV_000251,2025-11,3898.6239582342255,11,pix,13,17,1
TXN_NOV_000252,2025-11,426.19351859216096,23,assinatura,9,3,0
TXN_NOV_000253,2025-11,306.1219241289019,20,eletronicos,7,3,0
TXN_NOV_000254,2025-11,137.03505483220275,17,alimentacao,1,4,0
TXN_NOV_000255,2025-11,201.48947085500293,22,assinatura,9,1,0
TXN_NOV_000256,2025-11,417.0764636767635,19,lazer,6,4,0
TXN_NOV_000257,2025-11,1793.7733633498694,12,vestuario,4,5,0
TXN_NOV_000258,2025-11,296.7933538344734,13,vestuario,4,4,0
TXN_NOV_000259,2025-11,116.61281821763752,20,livros,8,1,0
TXN_NOV_000260,2025-11,32.77798936500854,17,transporte,3,1,0
TXN_NOV_000261,2025-11,65.59757673574981,17,alimentacao,1,1,0
TXN_NOV_000262,2025-11,369.63580734539096,20,eletronicos,7,2,0
TXN_NOV_000263,2025-11,329.5579661738077,17,lazer,6,4,0
TXN_NOV_000264,2025-11,131.30890211635844,11,alimentacao,1,3,0
TXN_NOV_000265,2025-11,2800.0,22,eletronicos,7,10,1
TXN_NOV_000266,2025-11,68.00970537893666,10,farmacia,2,2,0
TXN_NOV_000267,2025-11,309.22933440788563,18,vestuario,4,1,0
TXN_NOV_000268,2025-11,150.2137234320891,10,farmacia,2,3,0
TXN_NOV_000269,2025-11,190.1431539454326,15,alimentacao,1,5,0
TXN_NOV_000270,2025-11,270.1671639972537,13,alimentacao,1,1,0
TXN_NOV_000271,2025-11,243.39476951629877,21,eletronicos,7,1,0
TXN_NOV_000272,2025-11,166.8082824065661,21,assinatura,9,1,0
TXN_NOV_000273,2025-11,151.18637873854934,17,restaurante,5,3,0
TXN_NOV_000274,2025-11,226.032812844409,20,assinatura,9,4,0
TXN_NOV_000275,2025-11,285.637670003004,15,alimentacao,1,1,0
TXN_NOV_000276,2025-11,158.57083318163217,17,restaurante,5,2,0
TXN_NOV_000277,2025-11,346.5264561183875,19,eletronicos,7,2,0
TXN_NOV_000278,2025-11,235.82370031562272,12,supermercado,10,4,0
TXN_NOV_000279,2025-11,80.54816596218248,10,transporte,3,5,0
TXN_NOV_000280,2025-11,536.5413052712847,21,restaurante,5,3,0
TXN_NOV_000281,2025-11,358.6546267537328,22,eletronicos,7,1,0
TXN_NOV_000282,2025-11,210.4329744716795,10,farmacia,2,2,0
TXN_NOV_000283,2025-11,72.67348610013487,9,alimentacao,1,2,0
TXN_NOV_000284,2025-11,203.01388510862978,16,restaurante,5,1,0
TXN_NOV_000285,2025-11,262.81268262103424,15,vestuario,4,1,0
TXN_NOV_000286,2025-11,3500.0,10,transferencia,14,20,1
TXN_NOV_000287,2025-11,722.1433958152452,17,lazer,6,2,0
TXN_NOV_000288,2025-11,195.43527647164274,15,lazer,6,3,0
TXN_NOV_000289,2025-11,97.96983132659211,17,alimentacao,1,3,0
TXN_NOV_000290,2025-11,204.94684333475027,22,eletronicos,7,2,0
TXN_NOV_000291,2025-11,400.2225247424684,22,assinatura,9,2,0
TXN_NOV_000292,2025-11,292.4152042083865,14,vestuario,4,2,0
TXN_NOV_000293,2025-11,244.22748984683128,18,vestuario,4,6,0
TXN_NOV_000294,2025-11,267.431864616248,15,lazer,6,4,0
TXN_NOV_000295,2025-11,214.66837950469335,12,restaurante,5,1,0
TXN_NOV_000296,2025-11,200.59485089872163,23,eletronicos,7,1,0
TXN_NOV_000297,2025-11,267.13366296589857,13,transporte,3,2,0
TXN_NOV_000298,2025-11,421.4494952563926,19,lazer,6,1,0
TXN_NOV_000299,2025-11,332.553120031102,21,restaurante,5,4,0
TXN_NOV_000300,2025-11,131.39843860678212,12,transporte,3,4,0
TXN_NOV_000301,2025-11,4473.495513740871,13,pix,13,16,1
TXN_NOV_000302,2025-11,10.0,16,alimentacao,1,2,0
TXN_NOV_000303,2025-11,1389.6528329518715,10,lazer,6,7,0
TXN_NOV_000304,2025-11,327.5455847639182,20,restaurante,5,3,0
TXN_NOV_000305,2025-11,244.4327889133936,16,vestuario,4,3,0
TXN_NOV_000306,2025-11,109.33652952287554,22,assinatura,9,2,0
TXN_NOV_000307,2025-11,244.5610404605548,18,restaurante,5,5,0
TXN_NOV_000308,2025-11,190.65876108171307,10,alimentacao,1,3,0
TXN_NOV_000309,2025-11,57.5609135034621,14,transporte,3,5,0
TXN_NOV_000310,2025-11,276.4009486262862,19,livros,8,2,0
TXN_NOV_000311,2025-11,1354.9885098634147,12,supermercado,10,5,0
TXN_NOV_000312,2025-11,679.0426650918488,13,lazer,6,4,0
TXN_NOV_000313,2025-11,169.60684797157458,20,vestuario,4,4,0
TXN_NOV_000314,2025-11,474.10726518996194,20,restaurante,5,5,0
TXN_NOV_000315,2025-11,91.53875893819604,16,farmacia,2,2,0
TXN_NOV_000316,2025-11,220.51927918169952,13,lazer,6,3,0
TXN_NOV_000317,2025-11,350.1177940963482,18,vestuario,4,4,0
TXN_NOV_000318,2025-11,5158.125910208051,13,pix,13,26,1
TXN_NOV_000319,2025-11,139.87072479621946,15,transporte,3,3,0
TXN_NOV_000320,2025-11,89.87624182588836,10,alimentacao,1,1,0
TXN_NOV_000321,2025-11,52.106937256138266,12,farmacia,2,3,0
TXN_NOV_000322,2025-11,5900.283749609976,10,transferencia,14,39,1
TXN_NOV_000323,2025-11,189.97401365201665,20,assinatura,9,1,0
TXN_NOV_000324,2025-11,345.5768889750419,13,vestuario,4,2,0
TXN_NOV_000325,2025-11,175.89127308163899,23,assinatura,9,1,0
TXN_NOV_000326,2025-11,155.87532232158253,12,vestuario,4,4,0
TXN_NOV_000327,2025-11,248.20158347922074,15,restaurante,5,2,0
TXN_NOV_000328,2025-11,73.35582371019159,21,eletronicos,7,1,0
TXN_NOV_000329,2025-11,775.4247856973116,12,lazer,6,7,0
TXN_NOV_000330,2025-11,50.38036237776938,14,alimentacao,1,1,0
TXN_NOV_000331,2025-11,246.14516827488336,14,vestuario,4,5,0
TXN_NOV_000332,2025-11,246.88377778283433,20,assinatura,9,1,0
TXN_NOV_000333,2025-11,615.7686274814266,22,assinatura,9,1,0
TXN_NOV_000334,2025-11,3500.0,14,pix,13,25,1
TXN_NOV_000335,2025-11,77.83006113767922,10,farmacia,2,2,0
TXN_NOV_000336,2025-11,352.84920718941464,23,eletronicos,7,3,0
TXN_NOV_000337,2025-11,7938.043357222989,15,transferencia,14,36,1
TXN_NOV_000338,2025-11,430.7636659522178,20,vestuario,4,2,0
TXN_NOV_000339,2025-11,88.87153412311783,12,farmacia,2,1,0
TXN_NOV_000340,2025-11,14279.83641863883,13,pix,13,25,1
TXN_NOV_000341,2025-11,773.3575603484998,20,livros,8,1,0
TXN_NOV_000342,2025-11,267.80128397897863,21,livros,8,1,0
TXN_NOV_000343,2025-11,8581.7309035634,16,transferencia,14,22,1
TXN_NOV_000344,2025-11,42.16450908637444,8,farmacia,2,2,0
TXN_NOV_000345,2025-11,846.8022574432779,17,lazer,6,3,0
TXN_NOV_000346,2025-11,160.26328058682316,16,lazer,6,2,0
TXN_NOV_000347,2025-11,31.08806543975438,10,transporte,3,2,0
TXN_NOV_000348,2025-11,133.94534997920957,12,vestuario,4,7,0
TXN_NOV_000349,2025-11,129.9913584086351,21,livros,8,2,0
TXN_NOV_000350,2025-11,395.44057010481794,20,restaurante,5,4,0
TXN_NOV_000351,2025-11,111.68923432844826,18,vestuario,4,4,0
TXN_NOV_000352,2025-11,314.4356280859531,19,vestuario,4,2,0
TXN_NOV_000353,2025-11,113.05276536584495,16,transporte,3,2,0
TXN_NOV_000354,2025-11,100.0,17,vestuario,4,5,0
TXN_NOV_000355,2025-11,1202.7096128353714,14,vestuario,4,5,0
TXN_NOV_000356,2025-11,44.180055771035526,14,transporte,3,1,0
TXN_NOV_000357,2025-11,297.5932601733103,22,eletronicos,7,3,0
TXN_NOV_000358,2025-11,527.1637725115684,20,eletronicos,7,3,0
TXN_NOV_000359,2025-11,326.4580264851727,21,eletronicos,7,1,0
TXN_NOV_000360,2025-11,311.83131412400513,20,assinatura,9,2,0
TXN_NOV_000361,2025-11,92.8153076161668,12,alimentacao,1,5,0
TXN_NOV_000362,2025-11,686.4900319973061,16,lazer,6,4,0
TXN_NOV_000363,2025-11,303.40206764503233,20,livros,8,2,0
TXN_NOV_000364,2025-11,355.2395584131702,18,lazer,6,6,0
TXN_NOV_000365,2025-11,357.33325242060226,22,assinatura,9,2,0
TXN_NOV_000366,2025-11,520.1966433878131,23,assinatura,9,2,0
TXN_NOV_000367,2025-11,6744.466730363391,11,transferencia,14,27,1
TXN_NOV_000368,2025-11,380.4127791888826,12,restaurante,5,3,0
TXN_NOV_000369,2025-11,6891.4264833027055,16,transferencia,14,21,1
TXN_NOV_000370,2025-11,153.67655406742597,10,alimentacao,1,1,0
TXN_NOV_000371,2025-11,458.2222095339591,22,eletronicos,7,3,0
TXN_NOV_000372,2025-11,76.68066177072504,11,alimentacao,1,1,0
TXN_NOV_000373,2025-11,303.14583650534024,12,lazer,6,7,0
TXN_NOV_000374,2025-11,138.83620145664332,21,eletronicos,7,1,0
TXN_NOV_000375,2025-11,266.8010872373407,14,restaurante,5,2,0
TXN_NOV_000376,2025-11,276.31904071854257,16,lazer,6,1,0
TXN_NOV_000377,2025-11,119.30383063850246,10,alimentacao,1,1,0
TXN_NOV_000378,2025-11,84.57404524427363,9,farmacia,2,3,0
TXN_NOV_000379,2025-11,386.539581820021,21,livros,8,2,0
TXN_NOV_000380,2025-11,113.86958314030754,9,alimentacao,1,1,0
